"","ride_id","rideable_type","started_at","ended_at","start_station_name","start_station_id","end_station_name","end_station_id","start_lat","start_lng","end_lat","end_lng","member_casual"
"256","98EEF1296EB11630","docked_bike","2021-05-07 16:28:47","2021-05-07 16:36:46","W 22 St & 8 Ave",6224.03,"Lexington Ave & E 24 St",6089.07,40.744751,-73.999153,40.74025878,-73.98409214,"member"
"205","A0F4904C259344BE","docked_bike","2021-05-07 17:51:55","2021-05-07 18:00:24","University Pl & E 8 St",5755.14,"Pier 40 - Hudson River Park",5696.03,40.731437,-73.994903,40.7277140777778,-74.011295735836,"member"
"359","7FB7645D3078ED72","docked_bike","2021-05-07 20:00:43","2021-05-07 20:38:17","Vesey Pl & River Terrace",5297.02,"DeKalb Ave & S Portland Ave",4546.04,40.715337,-74.016583,40.68981035,-73.97493121,"casual"
"140","2A70598878AE7002","docked_bike","2021-05-08 00:11:48","2021-05-08 00:25:07","W 54 St & 9 Ave",6920.03,"West End Ave & W 94 St",7524.09,40.765849,-73.986905,40.7941654,-73.974124,"casual"
"344","5A32A2EAF5A941A8","docked_bike","2021-05-08 04:50:19","2021-05-08 05:00:28","E 27 St & Park Ave S",6131.13,"Barrow St & Hudson St",5805.05,40.742751,-73.984715,40.73172428,-74.00674436,"casual"
"341","69E947B636672527","docked_bike","2021-05-08 14:31:34","2021-05-08 14:51:35","27 St & Hunter St",6310.06,"Motorgate",6814.01,40.7485,-73.941275,40.7639089,-73.9477213,"casual"
"353","DE93EEFDF077953D","docked_bike","2021-05-08 14:59:27","2021-05-08 15:20:29","E 11 St & Avenue B",5659.11,"Cleveland Pl & Spring St",5492.05,40.727464,-73.979504,40.722103786686,-73.997249007225,"member"
"131","16C8ECBEADAD9ACA","docked_bike","2021-05-08 17:33:44","2021-05-08 17:36:52","31 St & Broadway",6789.04,"35 St & Broadway",6750.16,40.761584,-73.925921,40.760339,-73.9222427,"casual"
"296","1835311386AAD874","docked_bike","2021-05-08 17:46:10","2021-05-08 17:52:59","E 93 St & 2 Ave",7286.02,"Madison Ave & E 82 St",7188.13,40.782454,-73.948919,40.7781314,-73.96069399,"member"
"299","E167C47DF1152F7D","docked_bike","2021-05-08 18:19:14","2021-05-08 18:40:46","Cadman Plaza E & Tillary St",4677.01,"Centre St & Chambers St",5207.01,40.695976,-73.990148,40.71273266,-74.0046073,"casual"
"7","FB0E3F1D56D2F60E","docked_bike","2021-05-08 19:29:21","2021-05-08 19:37:42","St Marks Pl & 4 Ave",4249.1,"Degraw St & Hoyt St",4258.07,40.681778,-73.979889,40.681990442707,-73.9907902479172,"member"
"321","1CC4F946DDD05843","docked_bike","2021-05-08 20:11:08","2021-05-08 20:20:30","Allen St & Hester St",5342.1,"E 12 St & 3 Ave",5788.12,40.716058,-73.991907,40.73223272,-73.98889957,"member"
"190","58F344AE98BA0B14","docked_bike","2021-05-08 21:24:08","2021-05-08 22:09:04","Lenox Ave & W 144 St",7910.01,"Edgecombe Ave & W 145 St",7976.08,40.819783,-73.936521,40.823498,-73.94386,"casual"
"114","5C78ACE35F37AA2A","docked_bike","2021-05-08 23:47:59","2021-05-08 23:56:10","Mott St & Prince St",5561.04,"E 13 St & Avenue A",5779.09,40.723179,-73.9948,40.7296672939298,-73.9806796610355,"member"
"303","D4F812797C9E903B","docked_bike","2021-05-09 01:01:49","2021-05-09 01:07:34","Broadway & W 165 St",8191.01,"W 148 St & Amsterdam Ave",8033.09,40.839137,-73.941409,40.827075,-73.945909,"member"
